endTime,artistName,trackName,msPlayed
2021-05-26 18:20,Ivan Ferreiro,SPNB,196240
2021-05-26 18:24,Roxette,The Look,237320
2021-05-26 18:28,Christina y Los Subterraneos,1.000 pedazos,258373
2021-05-26 18:32,Sech,Otro Trago,225933
2021-05-26 18:36,LU,Por Besarte,217400
2021-05-26 18:39,Caloncho,Optimista,212226
2021-05-26 18:43,Zoé,Azul,194626
2021-05-26 18:47,Route 94,My Love (feat. Jess Glynne),259934
2021-05-26 18:51,Los Auténticos Decadentes,No Me Importa el Dinero (feat. Julieta Venegas) - Vivo en el Palacio de los Deportes,234985
2021-05-26 18:55,Michael Jackson,Love Never Felt So Good,246026
2021-05-26 18:59,Portugal. The Man,Rich Friends,221626
2021-05-26 19:04,Los Amigos Invisibles,La Que Me Gusta - Versión Acústica,318960
2021-05-26 19:09,The Verve,Lucky Man,293586
2021-05-26 19:13,Michael Sembello,Maniac,244706
2021-05-26 19:38,Peter Bjorn and John,Young Folks,415163
2021-05-26 19:44,Grupo Niche,Ana Milé,339546
2021-05-26 19:47,Latin Dreams,Vuelve,188306
2021-05-26 19:51,Shakira,Antologia,254240
2021-05-26 19:55,Indios,Ya Pasó,224946
2021-05-26 19:58,David Zowie,House Every Weekend - Radio Edit,182767
2021-05-26 20:01,Café Tacvba,Quiero Ver,205573
2021-05-26 21:27,Jace Everett,Bad Things,1550
2021-05-26 21:27,Gondwana,Antonia,165335
2021-05-26 21:32,Moloko,Sing It Back - Boris Dlugosch Mix,278000
2021-05-26 21:35,Mark Northam,Up - solo piano theme,177960
2021-05-26 21:39,Mœnia,Manto Estelar,253000
2021-05-26 21:44,David Pabon,Caradura,317573
2021-05-26 21:48,Soda Stereo,Trátame Suavemente - Remasterizado 2007,200800
2021-05-26 21:51,La Factoria,Todavia,205360
2021-05-26 21:56,Ismael Miranda,Caretas,311733
2021-05-26 22:00,Kudai,Sin Despertar,195666
2021-05-26 23:18,Rag'n'Bone Man,Human,37366
2021-05-26 23:32,Gorgon City,Take It All,1000
2021-05-26 23:38,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,341746
2021-05-26 23:42,Gorgon City,Ready For Your Love,198880
2021-05-26 23:45,Shawn Mendes,Never Be Alone,215813
2021-05-26 23:50,Friendly Fires,Hurting - Tensnake Remix,285652
2021-05-26 23:54,Calvin Harris,One Kiss (with Dua Lipa),214846
2021-05-26 23:55,New Order,Blue Monday '88,102393
2021-05-27 04:39,Black Pumas,Colors,15350
2021-05-27 04:47,Black Pumas,Colors,482036
2021-05-27 04:52,Black Pumas,Colors,269300
2021-05-27 04:56,Black Pumas,I'm Ready - Live from Capitol Studio A,273772
2021-05-27 05:03,Black Pumas,Colors - Live from Capitol Studio A,397482
2021-05-27 05:07,Black Pumas,Old Man - Live from Capitol Studio A,223773
2021-05-27 05:13,Black Pumas,Know You Better - Live from Capitol Studio A,361009
2021-05-27 05:15,Black Pumas,Fire - Live from Capitol Studio A,146455
2021-05-27 14:33,Black Pumas,Colors,246586
2021-05-27 14:37,Black Pumas,Colors,246586
2021-05-27 14:41,Black Pumas,Colors,246586
2021-05-27 14:45,Black Pumas,Colors,246586
2021-05-27 14:49,Black Pumas,Colors,246586
2021-05-27 14:53,Black Pumas,Colors,246586
2021-05-27 14:57,Black Pumas,Colors,246586
2021-05-27 15:01,Black Pumas,Colors,246586
2021-05-27 15:06,Black Pumas,Colors,246586
2021-05-27 15:10,Black Pumas,Colors,246586
2021-05-27 15:14,Black Pumas,Colors,246586
2021-05-27 15:22,Black Pumas,Colors,487433
2021-05-27 15:28,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,341746
2021-05-27 15:32,Foster The People,Pumped Up Kicks,239600
2021-05-27 15:35,Robin Schulz,Sugar (feat. Francesco Yates),219043
2021-05-27 15:40,8D Tunes,Everywhere (8D Audio),259677
2021-05-27 15:44,Black Pumas,Colors,246586
2021-05-27 15:48,The Temper Trap,Sweet Disposition,231546
2021-05-27 15:53,Milky Chance,Stolen Dance,313684
2021-05-27 15:56,Sofi Tukker,House Arrest,216441
2021-05-27 16:00,Tame Impala,The Less I Know The Better,216320
2021-05-27 16:05,Moloko,Sing It Back,263853
2021-05-27 16:08,Shawn Mendes,Never Be Alone,215813
2021-05-27 16:12,a-ha,Take on Me,225280
2021-05-27 16:16,Disclosure,Latch,255631
2021-05-27 16:20,Miura Jam,Black Rover,236426
2021-05-27 16:25,Ed Sheeran,Thinking out Loud,281560
2021-05-27 16:30,Electric Light Orchestra,Mr. Blue Sky,303373
2021-05-27 16:35,Michael Jackson,The Way You Make Me Feel - 2012 Remaster,298120
2021-05-27 16:40,Echo & the Bunnymen,Nocturnal Me,298933
2021-05-27 16:45,RAC,Cheap Sunglasses - Le Youth Remix,283360
2021-05-27 16:48,Gorillaz,On Melancholy Hill,233866
2021-05-27 17:13,99 Souls,The Girl Is Mine,8960
